iter	RMSE
236	2.909146808
237	2.906317104
238	2.904718434
239	2.90228509
240	2.900924606
241	2.897640115
242	2.896514826
243	2.893269976
244	2.888636705
245	2.888051663
246	2.886534937
247	2.883685548
248	2.882544817
249	2.879450691
250	2.874550781
251	2.873295055
252	2.872088798
253	2.869904126
254	2.869404339
255	2.866810005
256	2.863246423
257	2.860218239
258	2.85726816
259	2.854570127
260	2.852778434
261	2.852246165
262	2.84618772
263	2.843954465
264	2.839915923
265	2.836902878
266	2.836522467
267	2.833892589
268	2.833522813
269	2.83037386
270	2.827946506
271	2.826307535
272	2.823860566
273	2.820082948
274	2.817142911
275	2.813719475
276	2.808937564
277	2.806824202
278	2.805530776
279	2.803891225
280	2.800533146
281	2.797959692
282	2.796650971
283	2.794217272
284	2.791980007
285	2.78843696
286	2.785869617
287	2.785086331
288	2.784565261
289	2.78194884
290	2.77861025
291	2.777446014
292	2.775507496
293	2.771454348
294	2.768001907
295	2.765980591
296	2.762183746
297	2.758965721
298	2.758371272
299	2.755153431
300	2.75369123
301	2.750999874
302	2.750158127
303	2.747751059
304	2.746582029
305	2.744162576
306	2.740269997
307	2.739503558
308	2.736893456
309	2.733311803
310	2.730601315
311	2.726294939
312	2.724829946
313	2.721756993
314	2.72037731
315	2.720067896
316	2.718567559
317	2.7168609
318	2.715408375
319	2.712651759
320	2.709859506
321	2.709426147
322	2.706675978
323	2.706365996
324	2.704269155
325	2.699709056
326	2.69830724
327	2.696255849
328	2.693402223
329	2.692151489
330	2.688608396
331	2.686624858
332	2.683271984
333	2.680219981
334	2.678541643
335	2.676532931
336	2.673154897
337	2.672540175
338	2.669272685
339	2.666125899
340	2.663082928
341	2.661851087
342	2.660695523
343	2.658468614
344	2.65509403
345	2.651426166
346	2.649094107
347	2.646316781
348	2.645965383
349	2.644397721
350	2.64195112
351	2.640422429
352	2.638942152
353	2.636584129
354	2.634586185
355	2.633993676
356	2.631300639
357	2.627813995
358	2.624843832
359	2.623101468
360	2.6216896
361	2.619431901
362	2.618540406
363	2.617558884
364	2.615266183
365	2.61196093
366	2.610609606
367	2.608831937
368	2.607538949
369	2.603185161
370	2.599940125
371	2.599260575
372	2.597545044
373	2.594434744
374	2.590570711
375	2.588779979
376	2.587925406
377	2.587375294
378	2.583872345
379	2.580356504
380	2.575876839
381	2.572545265
382	2.571528877
383	2.567703004
384	2.56405498
385	2.562780182
386	2.560938878
387	2.559978247
388	2.558403855
389	2.557036774
390	2.55648594
391	2.555497089
392	2.553033921
393	2.55087932
394	2.550231753
395	2.547331876
396	2.545791417
397	2.545346711
398	2.542952428
399	2.541492792
400	2.538446755
401	2.537458119
402	2.534565835
403	2.53384913
404	2.530976216
405	2.528842485
406	2.527058342
407	2.524298662
408	2.522059094
409	2.519737596
410	2.516994687
411	2.514953654
412	2.513935577
413	2.512297627
414	2.511788134
415	2.51148459
416	2.508433859
417	2.507277611
418	2.505822605
419	2.50143257
420	2.501141463
421	2.500240403
422	2.496313458
423	2.49524534
424	2.492088462
425	2.491737238
426	2.4897576
427	2.488295575
428	2.486133312
429	2.484179321
430	2.481801661
431	2.479750636
432	2.478827602
433	2.47562067
434	2.473913277
435	2.472944636
436	2.471538335
437	2.470985002
438	2.469219247
439	2.4688034
440	2.466560969
441	2.464835583
442	2.46371961
443	2.460702915
444	2.458333924
445	2.454411984
446	2.45358014
447	2.452771489
448	2.4515244
449	2.449563599
450	2.448191213
451	2.446623341
452	2.444529939
453	2.442998676
454	2.440581874
455	2.439121384
456	2.437567674
457	2.435883909
458	2.434904411
459	2.432610559
460	2.430998948
461	2.42841096
462	2.426762836
463	2.426361998
464	2.423710716
465	2.423265844
466	2.418676014
467	2.418076646
468	2.41724973
469	2.415260215
470	2.41488247
471	2.411664185
472	2.409480357
473	2.407595296
474	2.405166047
475	2.40393785
476	2.402161884
477	2.400748633
478	2.397802791
479	2.397272266
480	2.395657941
481	2.392377521
482	2.390689434
483	2.389426099
484	2.386726253
485	2.383795599
486	2.382311101
487	2.381230755
488	2.379006478
489	2.37837748
490	2.376043079
491	2.374202334
492	2.372225905
493	2.371226903
494	2.367959073
495	2.367628971
496	2.366843332
497	2.364067916
498	2.361092373
499	2.359892498
500	2.358001113
501	2.356732243
502	2.354739038
503	2.353219051
504	2.353005384
505	2.352919049
506	2.351579538
507	2.351063734
508	2.34848299
509	2.346959592
510	2.345089564
511	2.344222585
512	2.341722755
513	2.339943878
514	2.338469149
515	2.337110521
516	2.335131704
517	2.334100745
518	2.332895101
519	2.331631837
520	2.329518
521	2.328054065
522	2.325751952
523	2.325416983
524	2.325175622
525	2.323053197
526	2.320180101
527	2.319613853
528	2.317578203
529	2.31505238
530	2.314139468
531	2.312339162
532	2.311656536
533	2.309398356
534	2.308118127
535	2.306013845
536	2.304074551
537	2.302356498
538	2.302142641
539	2.299714712
540	2.298622186
541	2.296804765
542	2.295655817
543	2.293067731
544	2.291049302
545	2.288870234
546	2.286700974
547	2.284824992
548	2.284444772
549	2.282505933
550	2.280054339
551	2.278830368
552	2.277342353
553	2.277176845
554	2.276681594
555	2.275291271
556	2.273776155
557	2.272406242
558	2.271176615
559	2.268908663
560	2.268664054
561	2.267181461
562	2.266986329
563	2.264803239
564	2.262786817
565	2.261920807
566	2.260164011
567	2.258341535
568	2.256898255
569	2.256332588
570	2.255209008
571	2.254470045
572	2.252578227
573	2.251841027
574	2.249747246
575	2.248505846
576	2.247930824
577	2.24665269
578	2.245728025
579	2.24478114
580	2.244393652
581	2.242568427
582	2.241747548
583	2.239882948
584	2.239548085
585	2.23650239
586	2.236329777
587	2.235768413
588	2.234320735
589	2.233732326
590	2.233432416
591	2.231640549
592	2.228704592
593	2.226894399
594	2.224936933
595	2.223560957
596	2.223356169
597	2.221365306
598	2.220516627
599	2.219823063
600	2.218241765
601	2.217020735
602	2.216139302
603	2.215781247
604	2.214156734
605	2.212143146
606	2.210757185
607	2.209491959
608	2.208421176
609	2.206744368
610	2.204478592
611	2.20374877
612	2.202928967
613	2.201155583
614	2.20071916
615	2.198962512
616	2.196654304
617	2.195333307
618	2.193288108
619	2.191465524
620	2.190953158
621	2.189405007
622	2.188989558
623	2.187939115
624	2.187774113
625	2.187276723
626	2.185339991
627	2.183722671
628	2.180667947
629	2.178463072
630	2.178183165
631	2.176131949
632	2.173475575
633	2.172746191
634	2.170365547
635	2.168454522
636	2.166052928
637	2.165466717
638	2.165101341
639	2.163201543
640	2.162583719
641	2.161362471
642	2.159799695
643	2.157663674
644	2.155910455
645	2.154520295
646	2.152980706
647	2.150790439
648	2.149959576
649	2.149763962
650	2.148968213
651	2.147070313
652	2.144316319
653	2.142546055
654	2.14139966
655	2.139460894
656	2.1382412
657	2.137324719
658	2.134560168
659	2.133254911
660	2.131758846
661	2.130465648
662	2.129093377
663	2.127557755
664	2.126366511
665	2.124710397
666	2.122964808
667	2.121401496
668	2.119138951
669	2.11849822
670	2.115780195
671	2.115417612
672	2.113689511
673	2.111857459
674	2.109648392
675	2.107548515
676	2.106909602
677	2.105898956
678	2.104635687
679	2.104002465
680	2.103879098
681	2.101957944
682	2.100552058
683	2.100335862
684	2.097493299
685	2.096461459
686	2.09292883
687	2.09159592
688	2.090318291
689	2.089042198
690	2.086690996
691	2.085083252
692	2.084263282
693	2.083376498
694	2.082506321
695	2.081838316
696	2.08029953
697	2.07986583
698	2.079089
699	2.077754574
700	2.075521695
701	2.07396912
702	2.072527583
703	2.06997899
704	2.068948278
705	2.067643792
706	2.06756959
707	2.066671325
708	2.065845559
709	2.0640378
710	2.063060765
711	2.062894486
712	2.062385986
713	2.062085884
714	2.060107176
715	2.058061913
716	2.056584161
717	2.05525005
718	2.053938597
719	2.052205819
720	2.051575403
721	2.050551793
722	2.049507462
723	2.048536538
724	2.046904658
725	2.046321119
726	2.044640569
727	2.042593392
728	2.041723178
729	2.040758234
730	2.039748737
731	2.038787312
732	2.037141072
733	2.036959679
734	2.035306887
735	2.034179363
736	2.033567376
737	2.033003282
738	2.032397295
739	2.032123023
740	2.031310026
741	2.030995834
742	2.029720212
743	2.028561965
744	2.027351092
745	2.025258656
746	2.024694763
747	2.022916493
748	2.021645786
749	2.020884363
750	2.019317578
751	2.018056258
752	2.015782705
753	2.015594058
754	2.014698846
755	2.012939633
756	2.010622655
757	2.008484212
758	2.007300743
759	2.006144298
760	2.004401276
761	2.004077659
762	2.00085109
763	1.998605372
764	1.997513584
765	1.996148438
766	1.995467684
767	1.995335673
768	1.993871325
769	1.993405175
770	1.99291584
771	1.991554254
772	1.989854709
773	1.989303099
774	1.98799203
775	1.98743237
776	1.986428568
777	1.985101252
778	1.984634257
779	1.982728333
780	1.981427586
781	1.980304281
782	1.979621247
783	1.978634129
784	1.978459793
785	1.977276378
786	1.976678179
787	1.975906664
788	1.974877014
789	1.974292938
790	1.973780019
791	1.97227923
792	1.970868988
793	1.9694942
794	1.968171065
795	1.968018968
796	1.96791793
797	1.967693811
798	1.967002339
799	1.966579165
800	1.964479226
801	1.962697681
802	1.962251323
803	1.960719381
804	1.959149047
805	1.958014234
806	1.95721154
807	1.955722628
808	1.954135435
809	1.952006423
810	1.94983534
811	1.949387506
812	1.948886608
813	1.948569663
814	1.946930746
815	1.945390591
816	1.944580416
817	1.942417143
818	1.940990279
819	1.939215456
820	1.936552156
821	1.936152334
822	1.93558304
823	1.933751497
824	1.932455508
825	1.930997651
826	1.93019836
827	1.929664426
828	1.928291122
829	1.927730121
830	1.927408419
831	1.926939921
832	1.925498925
833	1.924358437
834	1.922890284
835	1.922188091
836	1.921676146
837	1.919858229
838	1.918275238
839	1.918050912
840	1.916540789
841	1.914803412
842	1.913857002
843	1.911865234
844	1.910722509
845	1.910342013
846	1.90870418
847	1.907970544
848	1.905976558
849	1.904934149
850	1.90443101
851	1.903497284
852	1.902946648
853	1.901872556
854	1.900815637
855	1.89938157
856	1.898303883
857	1.89754019
858	1.896882357
859	1.89545195
860	1.894958706
861	1.893721674
862	1.893123919
863	1.892320447
864	1.891491079
865	1.8898103
866	1.888475511
867	1.886953318
868	1.886587882
869	1.885362998
870	1.883550528
871	1.882439535
872	1.88035487
873	1.880034961
874	1.879828283
875	1.878951325
876	1.877394178
877	1.876162299
878	1.87505024
879	1.87379228
880	1.872104859
881	1.871594209
882	1.870430539
883	1.86996535
884	1.868704016
885	1.867145737
886	1.866631686
887	1.86550746
888	1.864783726
889	1.864685031
890	1.863678257
891	1.863137852
892	1.862797247
893	1.862658453
894	1.861448794
895	1.860103522
896	1.858904067
897	1.857409081
898	1.856665159
899	1.855148894
900	1.85501656
901	1.854349596
902	1.85360183
903	1.853107626
904	1.851554019
905	1.85023805
906	1.849384819
907	1.848106738
908	1.846480626
909	1.845037122
910	1.844030728
911	1.842725085
912	1.842291901
913	1.840803939
914	1.840646028
915	1.840446482
916	1.839867938
917	1.839395343
918	1.838800887
919	1.837888224
920	1.837737645
921	1.836327619
922	1.835567717
923	1.835211442
924	1.832605487
925	1.832453781
926	1.83165804
927	1.830511938
928	1.829565176
929	1.829399446
930	1.828984525
931	1.82785834
932	1.827090858
933	1.825418475
934	1.825009475
935	1.823161778
936	1.821610936
937	1.8205557
938	1.818908155
939	1.818481632
940	1.818299548
941	1.81711516
942	1.816081378
943	1.814155062
944	1.813421566
945	1.812433788
946	1.810692791
947	1.810582958
948	1.810289773
949	1.807989093
950	1.806565405
951	1.804825497
952	1.802709472
953	1.802246255
954	1.801665893
955	1.800016024
956	1.799335812
957	1.797770052
958	1.796342691
959	1.793894361
960	1.792640862
961	1.791996469
962	1.790940294
963	1.789648779
964	1.788332272
965	1.787253413
966	1.786147722
967	1.78452023
968	1.78296795
969	1.781652032
970	1.781570079
971	1.780497277
972	1.77944669
973	1.778987943
974	1.777416256
975	1.775532896
976	1.775300831
977	1.773959192
978	1.773267028
979	1.772776564
980	1.771204443
981	1.770930133
982	1.769566654
983	1.768362505
984	1.767835477
985	1.767257083
986	1.76567241
987	1.764801119
988	1.764609803
989	1.764090653
990	1.763332989
991	1.76236923
992	1.761099133
993	1.759268625
994	1.75850793
995	1.757762082
996	1.756063631
997	1.755453583
998	1.754782207
999	1.754374934
